id,name,party,votes,personalVotes,totalSent,avgSent,lix
15757.0,Aaja Chemnitz Larsen,IA,,,1081.779809523811,0.4623405560002441,41.904686327487326
148.0,Anders Samuelsen,LA,29.0,20.565,41.67362219576721,0.3874093352771889,42.617524651980574
123.0,Andreas Steenberg,RV,4.0,1.9709999999999999,338.3614743306881,0.30608482910189344,38.90930710124542
120.0,Benny Engelbrecht,S,14.0,8.516,1012.9513675724913,0.32210973485009614,33.27755923748097
257.0,Bjarne Laustsen,S,26.0,16.704,175.67103650793644,0.30115723189319143,37.10231315239598
83.0,Brian Mikkelsen,KF,7.0,4.398,945.094861997354,0.4091302037642062,41.343614029456724
15778.0,Carolina Magdalene Maier,ALT,2.0,1.073,761.4346534285705,0.3327439654897942,38.476408640587294
39.0,Christian Juhl,EL,4.0,1.6480000000000001,1741.7137698197866,0.28837657537431977,30.96173970388827
15797.0,Christian Poll,ALT,7.0,1.6219999999999999,824.6077788359762,0.35649927535093023,37.80458562618962
15791.0,Eva Flyvholm,EL,5.0,2.6510000000000002,654.8289111111119,0.31240943060366205,39.34215673874107
3975.0,Finn Sørensen,,2.0,998.0,1883.8315982844051,0.2465141559779014,38.83161968209045
44.0,Henning Hyllested,EL,5.0,3.221,992.4995425370371,0.21244114629165067,40.772150859502034
15800.0,Henrik Dahl,LA,5.0,2.9019999999999997,178.17100793650792,0.24482783402933456,41.82345402540933
33.0,Holger K. Nielsen,SF,,,655.8272544801582,0.21244189656931226,37.65288129284288
152.0,Ida Auken,S,18.0,10.431,482.77461140211545,0.3057741733922675,38.23139281715346
15788.0,Jacob Mark,SF,5.0,2.948,853.4364120714298,0.2842788612247485,36.59707775274118
15785.0,Jakob Sølvhøj,EL,3.0,753.0,337.08719576719534,0.30107286022685853,46.765788032032304
147.0,Johanne Schmidt-Nielsen,EL,44.0,40.425,451.5038288346563,0.1490136236025863,37.935014225636806
205.0,Jonas Dahl,SF,5.0,2.32,595.8334830910043,0.2650493027571071,40.61615006690815
199.0,Karsten Hønge,SF,5.0,2.647,546.5822966349216,0.2488707099077617,39.449559657321856
219.0,Lisbeth Bech Poulsen,SF,3.0,1.652,1771.844211748423,0.23674906558050351,37.41098261348438
112.0,Lotte Rod,RV,4.0,2.316,252.15904682539653,0.2685228279613619,38.72263084638496
189.0,Mai Mercado,KF,8.0,5.3660000000000005,134.83783068783086,0.3565534830574367,43.255090464757345
16351.0,Malte Larsen,S,5.0,3.449,57.280410052910035,0.27750792138418695,42.082285691695056
15769.0,Maria Reumert Gjerding,EL,5.0,2.287,915.4288347592613,0.24986457263402062,40.883148147555644
55.0,Marianne Jelved,RV,4.0,2.171,377.4957763280422,0.38201501394298776,39.600722982865534
141.0,Martin Lidegaard,RV,12.0,7.671,1637.8114593187854,0.3359192920103916,41.96965557630176
15795.0,May-Britt Kattrup,LA,,,217.4230232804233,0.28361991035797457,39.753690114520424
73.0,Merete Riisager,LA,16.0,5.912999999999999,399.66127174603173,0.32622746857075485,40.60669854278085
15793.0,Mette Abildgaard,KF,6.0,3.2060000000000004,896.7716439550244,0.31061114326907935,37.67892808749927
135.0,Mette Bock,LA,23.0,11.588,1525.218986225997,0.40626030120901613,32.875729811098175
116.0,Morten Østergaard,RV,14.0,8.006,352.292588888889,0.2974790914907951,39.92303713901674
668.0,Naser Khader,KF,7.0,4.041,270.35041967724885,0.20601580430795932,38.72676262944499
68.0,Nikolaj Villumsen,EL,6.0,2.338,388.1612728529085,0.17156223524002479,41.98208207705437
16582.0,Peder Hvelplund,EL,1.0,423.0,263.0518111111114,0.21171512709348353,42.94237295610934
15777.0,Pelle Dragsted,EL,3.0,2.5989999999999998,1345.1144307333318,0.23009968382944507,38.940537093093894
69.0,Pernille Skipper,EL,13.0,11.12,733.8186263015867,0.18230205185255888,38.52284884531247
43.0,Pia Olsen Dyhr,SF,14.0,9.575,512.1551975925928,0.28466825498579473,36.35373811730504
59.0,Rasmus Helveg Petersen,RV,3.0,2.151,52.65625661375659,0.41256958876248995,38.69211156425719
1454.0,Rasmus Jarlov,KF,6.0,3.4189999999999996,773.9950999455028,0.21872115135811518,40.16109004187584
15792.0,Rasmus Nordqvist,SF,6.0,1.328,1507.2940070661386,0.4027656364075446,39.884802953297566
15786.0,René Gade,ALT,4.0,1.112,1081.4472940793648,0.3072267264993096,39.47519786884605
655.0,Rune Lund,EL,1.0,530.0,839.8975811957664,0.24059559862493343,40.55873053874451
117.0,Simon Emil Ammitzbøll,UFG,21.0,6.904,813.9996050396837,0.2744259825027,39.21872647748029
100.0,Sofie Carsten Nielsen,RV,10.0,4.303,864.7164447063491,0.323776526444685,39.41145170039849
122.0,Stine Brix,EL,8.0,5.7620000000000005,409.24087787830666,0.279265246740393,36.443322262534124
667.0,Søren Egge Rasmussen,EL,5.0,1.124,965.3125153439166,0.3011735774838516,39.489969424450805
15784.0,Søren Pape Poulsen,KF,,,497.2072165767193,0.3168983776572801,39.805672576476056
176.0,Søren Søndergaard,EL,5.0,3.0380000000000003,716.6037915202393,0.2293212853957225,37.41461750650664
15794.0,Trine Torp,SF,5.0,2.494,552.069612142857,0.36575919393582595,43.13891629983141
225.0,Uffe Elbæk,UFG,37.0,18.796,16.373333333333328,0.39472838315654113,37.892466036167264
155.0,Villum Christensen,LA,9.0,2.451,419.6811171164023,0.2848810852145714,38.13326674567574
191.0,Zenia Stampe,RV,8.0,4.564,303.4652759878302,0.24641922532507524,38.87648917822632
