,party,Sentiment score
0,ALT,27108.903854936347
1,DF,36556.582488192995
2,EL,37257.82115164477
3,IA,3640.5628697354837
4,JF,851.0396651705033
5,KF,11031.127348207438
6,LA,18718.253020707867
7,NQ,442.8032591904763
8,RV,17984.07962408982
9,S,38606.858374039686
10,SF,21252.9820358857
11,SIU,594.6681777777777
12,T,1538.6104445727542
13,UFG,1047.97833068783
14,V,29362.00752553361
