,person,Sentiment score
0,Anni Matthiesen,337.7573201058201
1,Bertel Haarder,225.19033068783074
2,Britt Bager,157.10117106746046
3,Carl Holst,103.95293650793653
4,Claus Hjort Frederiksen,727.6611873015873
5,Ellen Trane Nørby,373.04711904761893
6,Erling Bonnesen,728.3800192354527
7,Esben Lunde Larsen,716.9013927671948
8,Eva Kjer Hansen,360.5897779920635
9,Hans Andersen,696.8405898730173
10,Hans Christian Schmidt,684.9660444444436
11,Hans Christian Thoning,12.63841269841271
12,Inger Støjberg,924.54933533598
13,Jacob Jensen,785.1026531111107
14,Jakob Ellemann-Jensen,322.46726810026365
15,Jakob Engel-Schmidt,283.93728359788327
16,Jan E. Jørgensen,694.8309142169313
17,Jane Heitmann,480.43420105820036
18,Karen Ellemann,911.854452380953
19,Karsten Lauritzen,1107.6136026904771
20,Kristian Jensen,1296.0930402161366
21,Kristian Pihl Lorentzen,1452.4253266402154
22,Lars Christian Lilleholt,836.6596915343904
23,Lars Løkke Rasmussen,697.0593399841283
24,Leif Mikkelsen,331.18689682539684
25,Louise Schack Elholm,347.84840857142893
26,Marcus Knuth,590.3118137566139
27,Michael Aastrup Jensen,283.50378350740755
28,Morten Løkkegaard,316.1860582010579
29,Peter Juel Jensen,225.33176076455004
30,Preben Bang Henriksen,125.42394814814826
31,Sophie Løhde,782.4300343915346
32,Søren Gade,58.556957671957626
33,Søren Pind,664.2327394894177
34,Thomas Danielsen,468.94821428571356
35,Torsten Schack Pedersen,424.56865911904714
36,Troels Lund Poulsen,589.3919841269836
