,person,Sentiment score
0,Ane Halsboe-Jørgensen,18.952199999999998
1,Anne Paulin,38.109582010582
2,Annette Lind,89.02599206349217
3,Astrid Krag,3.017023809523805
4,Christian Rabjerg Madsen,162.3049874232804
5,Christine Antorini,13.729576719576716
6,Dan Jørgensen,431.7516682539676
7,Daniel Toft Jakobsen,37.07246031746031
8,Erik Christensen,292.1935296296295
9,Flemming Møller Mortensen,344.9801190476187
10,Helle Thorning-Schmidt,353.9652241507939
11,Henrik Dam Kristensen,681.0235742989469
12,Henrik Sass Larsen,46.704576719576714
13,Jan Johansen,100.05843915343925
14,Jens Joel,552.0277153439151
15,Jeppe Bruus,367.34202169312107
16,Jesper Petersen,399.1663884973545
17,Julie Skovsby,104.99571428571431
18,Karen J. Klint,445.52269591005233
19,Karin Gaardsted,171.01475861640202
20,Kasper Roug,157.87144179894182
21,Kirsten Brosbøl,40.193756613756605
22,Lars Aslan Rasmussen,5.301190476190473
23,Lea Wermelin,299.35437301587257
24,Leif Lahn Jensen,598.9726542962953
25,Lennart Damsbo-Andersen,136.21573174603193
26,Magnus Heunicke,315.6955767195766
27,Maja Panduro,52.4854100529101
28,Malou Lunderød,29.142089947089932
29,Mattias Tesfaye,465.48081704298903
30,Mette Frederiksen,275.3105515899471
31,Mette Gjerskov,49.826756769841275
32,Mette Reissmann,389.44410029497317
33,Mogens Jensen,151.52330687830698
34,Morten Bødskov,67.85578042328044
35,Nick Hækkerup,101.31556750317462
36,Nicolai Wammen,49.21305335714287
37,Orla Hav,206.65898148148136
38,Per Husted,41.26330158730159
39,Pernille Rosenkrantz-Theil,179.510444015873
40,Pernille Schnoor,100.33296666666668
41,Rasmus Horn Langhoff,210.262113904762
42,Rasmus Prehn,745.3100410492058
43,Simon Kollerup,396.11733756613694
44,Sjúrður Skaale,275.70485978835956
45,Thomas Jensen,9.32611111111111
46,Trine Bramsen,287.79772126984074
47,Troels Ravn,48.41011353968252
48,Yildiz Akdogan,109.65145026455026
