,person,Sentiment score
0,Alex Ahrendtsen,327.29735767195695
1,Bent Bøgsted,567.1573535132258
2,Christian Langballe,355.3946117619045
3,Claus Kvist Hansen,160.99596560846567
4,Dennis Flydtkjær,614.8048244603174
5,Dorthe Ullemose,27.366269841269855
6,Hans Kristian Skibby,421.59314524867756
7,Henrik Brodersen,55.45617724867727
8,Ib Poulsen,81.73535714285711
9,Jan Erik Messmann,47.255158730158705
10,Jan Rytkjær Callesen,42.95738730158731
11,Jens Henrik Thulesen Dahl,222.9903042328044
12,Jeppe Jakobsen,306.1911153439155
13,Karin Nødgaard,230.24276455026418
14,Karina Adsbøl,454.93768493915275
15,Karina Due,38.25330680158727
16,Kenneth Kristensen Berth,746.3809044695751
17,Kim Christiansen,443.34806288359766
18,Kristian Thulesen Dahl,414.04195925925865
19,Lise Bech,67.32354497354497
20,Liselott Blixt,155.85261640211647
21,Marie Krarup,124.10582433862432
22,Marlene Harpsøe,436.08923708068795
23,Martin Henriksen,767.8962852857154
24,Merete Dea Larsen,54.66232275132275
25,Mette Hjermind Dencker,168.14217989418003
26,Mikkel Dencker,314.4916957671957
27,Morten Marinus,37.08328042328042
28,Pernille Bendixen,170.42615873015868
29,Peter Skaarup,69.51180846560851
30,Pia Adelsteen,326.1544682539674
31,Pia Kjærsgaard,2446.5055529603037
32,René Christensen,1147.2368131851847
33,Susanne Eilersen,138.88915767195783
34,Søren Espersen,223.24845090742798
35,Tilde Bork,6.095074074074067
